Sample Time (ms),CPU Usage (%),Free Memory (MB)
0,0.0,995.18359375
122,20.3,995.03515625
231,1.8,995.0
339,1.8,994.9921875
462,10.9,994.96875
570,12.5,994.95703125
680,23.2,995.18359375
788,7.1,995.51171875
896,3.6,994.58203125
1005,7.1,994.39453125
1113,20.4,991.75390625
1238,18.2,988.49609375
1362,19.0,985.64453125
1471,12.3,987.50390625
1580,8.9,984.6875
1705,4.8,985.35546875
1828,3.4,985.3203125
1936,3.6,993.26953125
2046,5.4,985.3984375
2156,12.5,985.97265625
2265,7.1,986.04296875
2375,5.4,1013.015625
2484,7.1,1018.40625
2595,4.7,1018.40234375
2705,1.8,1018.625
2813,0.0,1018.6484375
2923,3.6,1018.84765625
3032,15.1,1011.54296875
3139,19.2,1011.20703125
3266,13.8,1009.48828125
3376,15.6,1009.7265625
3502,14.1,1012.26171875
3626,21.3,1000.5390625
3749,28.3,999.96484375
3857,12.5,1001.11328125
3966,8.9,1000.9140625
4090,10.9,994.3828125
4217,6.2,994.578125
4338,15.6,998.14453125
4446,8.9,998.59375
4555,1.8,999.0546875
4664,1.8,998.6953125
4790,4.7,998.66796875
4899,10.7,998.86328125
5007,5.4,998.14453125
5122,7.1,996.8671875
5243,6.2,996.953125
5352,18.2,995.80078125
5460,5.2,1004.140625
5569,3.6,994.49609375
5678,0.0,994.81640625
5805,3.1,995.8515625
5930,0.0,996.8828125
6056,4.7,997.625
6177,4.7,997.4765625
6302,7.9,993.72265625
6412,5.5,996.72265625
6536,1.5,996.73046875
6662,3.4,996.73046875
6788,11.8,986.22265625
6912,1.5,987.421875
7035,4.8,987.43359375
7161,6.1,987.54296875
7269,0.0,987.59375
7393,0.0,989.73828125
7520,1.5,989.73828125
7645,1.6,990.609375
7755,1.7,990.82421875
7880,7.7,991.125
8005,1.6,991.109375
8129,7.9,989.24609375
8238,7.0,989.109375
8363,4.7,982.734375
8488,3.1,981.46875
8613,0.0,981.66015625
8739,3.1,981.89453125
8848,0.0,981.68359375
8973,4.7,982.3125
9098,7.7,982.33984375
9222,1.7,982.56640625
9348,1.5,982.56640625
9473,0.0,982.56640625
9600,4.7,982.75390625
9726,0.0,982.75390625
9851,9.1,982.640625
9959,1.8,982.63671875
