Sample Time (ms),CPU Usage (%),Free Memory (MB)
0,0.0,1064.0546875
136,9.7,1064.39453125
247,17.9,1062.26953125
356,18.5,1061.38671875
480,21.2,1062.046875
590,20.0,1045.4296875
715,48.5,964.72265625
824,32.1,964.6796875
934,8.9,972.3515625
1058,4.7,973.5078125
1169,8.9,972.5859375
1278,19.6,967.6796875
1400,23.4,965.30859375
1525,23.8,965.4140625
1635,14.3,966.625
1742,19.3,969.25
1852,10.7,969.234375
1978,12.9,969.18359375
2101,12.1,968.84375
2211,3.7,968.8203125
2335,9.1,970.4296875
2461,14.5,977.75
2571,64.2,956.5859375
2696,50.7,936.52734375
2850,39.5,935.37890625
2974,1.6,939.265625
