Sample Time (ms),CPU Usage (%),Free Memory (MB)
0,0.0,732.48828125
117,64.1,726.8671875
240,25.4,737.9609375
350,21.8,737.73046875
473,15.6,725.109375
582,14.0,723.03515625
691,13.0,715.18359375
799,19.6,715.3359375
908,21.4,715.79296875
1034,3.1,715.70703125
1141,17.9,715.69140625
1248,1.8,715.7734375
1357,5.4,715.93359375
1465,10.7,716.9140625
1573,5.4,717.59765625
1683,19.3,720.01171875
1791,7.1,720.0625
1901,7.0,720.1171875
2025,3.1,720.6953125
2134,10.9,720.7578125
2244,5.3,720.75
2355,5.5,720.859375
2463,12.5,725.81640625
2574,16.1,730.52734375
2683,14.0,723.82421875
2794,5.3,728.57421875
2903,1.8,728.5625
3028,1.6,729.16796875
3153,4.7,729.25
3262,3.6,729.2421875
3388,3.1,729.765625
3513,3.1,729.69140625
3640,3.1,729.69921875
3749,0.0,729.83984375
3874,3.1,730.0078125
4000,6.2,729.859375
4125,9.4,725.34765625
4251,20.3,725.34765625
4362,8.9,726.18359375
4472,15.4,726.23046875
4581,9.3,728.92578125
4691,17.5,728.28125
4802,12.5,729.21875
4913,13.8,735.09375
