Sample Time (ms),CPU Usage (%),Free Memory (MB)
0,0.0,469.96484375
118,20.7,470.30859375
228,17.5,471.8515625
337,1.8,472.3359375
446,4.8,472.0
555,6.1,472.0
678,16.9,472.0
786,3.6,472.0
894,7.1,466.04296875
1003,0.0,466.6328125
1113,17.9,464.6796875
1238,23.1,452.37109375
1346,12.5,453.5703125
1458,14.3,454.04296875
1583,15.6,443.390625
1708,7.8,443.46875
1833,9.4,443.46875
1958,6.2,443.46875
2068,1.8,443.54296875
2191,1.6,443.5703125
2302,9.1,443.5703125
2426,7.7,443.578125
2535,17.9,438.4921875
2657,18.8,438.4921875
2766,1.8,438.4921875
2875,3.6,438.4921875
2999,3.1,438.7109375
3108,1.8,438.77734375
3216,5.4,438.8125
3340,4.8,438.99609375
3450,3.6,439.04296875
3573,12.7,437.7265625
3696,8.6,437.7265625
3804,8.9,437.74609375
3930,1.6,437.74609375
4040,3.6,437.74609375
4149,3.6,437.74609375
4257,3.6,437.765625
4367,3.6,438.234375
4477,7.1,435.0703125
4586,8.9,433.859375
4695,17.9,433.859375
4807,3.3,433.859375
4929,5.1,433.859375
5037,5.4,433.859375
5146,3.6,433.859375
5256,5.4,433.859375
5366,7.1,433.8671875
5475,7.1,433.98046875
5585,8.9,434.25
5708,9.4,434.49609375
5818,5.4,434.49609375
5926,3.6,434.51171875
6034,5.4,434.5625
6157,3.1,435.60546875
6280,6.3,431.94921875
6404,12.5,431.81640625
6513,1.8,431.9765625
6621,7.1,430.20703125
6731,10.7,439.80859375
6840,3.6,439.34375
6948,3.6,439.43359375
7056,8.8,440.41796875
7164,14.3,445.77734375
7274,10.7,445.87890625
7383,14.3,477.10546875
7491,10.9,480.88671875
7601,14.0,480.51953125
7726,21.9,483.296875
7835,10.5,483.30078125
7943,12.5,483.30078125
8052,10.7,484.6796875
8177,12.5,511.16015625
8301,18.8,547.28125
8426,15.6,560.44921875
8550,15.6,559.7734375
8660,14.0,558.9765625
8784,14.3,568.9140625
8908,21.5,600.91015625
9032,14.1,617.01953125
9159,15.4,638.53515625
9267,10.7,657.3359375
9377,17.5,657.3125
9486,12.5,657.30859375
9609,28.6,656.9375
9736,39.4,675.25390625
9857,14.1,711.40625
9967,19.6,792.25
10076,26.8,826.59375
10199,7.8,850.109375
10309,8.9,847.1328125
10432,3.1,847.125
10541,5.5,847.12109375
10650,14.5,842.30859375
10774,8.5,850.90625
10881,5.4,850.72265625
10989,5.4,850.0859375
11102,6.9,850.3984375
11224,7.9,850.3984375
11334,5.4,851.37890625
11442,3.6,851.37890625
11552,0.0,851.390625
11661,3.6,847.359375
11785,7.7,847.38671875
11894,1.8,847.3828125
12004,5.4,847.40234375
12113,1.8,847.40234375
12221,1.8,847.4140625
12331,1.8,847.35546875
12441,8.8,847.37109375
12550,1.8,847.59375
12659,8.9,847.66015625
12785,6.2,847.6796875
12896,1.8,847.6796875
13006,7.1,847.703125
13117,5.4,847.71484375
13226,3.6,849.87109375
13351,4.7,852.07421875
13460,12.5,868.828125
13570,5.4,959.28515625
13681,17.9,953.34375
13802,12.5,952.49609375
13910,7.0,953.2109375
14018,5.4,953.2109375
14130,8.9,953.3984375
14238,10.7,955.23046875
14349,7.1,955.1640625
14459,7.1,955.328125
14567,3.6,955.328125
14675,16.1,958.85546875
14799,27.7,969.69140625
14923,30.8,986.62109375
15047,12.5,1008.4296875
15157,23.2,1032.51171875
15266,22.8,1056.23046875
15375,43.9,1071.52734375
15485,46.4,1088.6796875
15593,25.0,1118.37109375
15701,14.3,1118.15625
15812,16.1,1118.1484375
15935,17.5,1107.921875
16060,9.2,1107.87109375
16185,6.2,1107.875
16309,7.9,1107.8671875
16432,9.2,1107.80078125
16542,3.6,1107.78125
16651,5.6,1109.3515625
16773,12.1,1109.6015625
16883,5.4,1109.58984375
16993,7.1,1109.57421875
17103,7.8,1109.57421875
17213,1.8,1109.57421875
17322,5.6,1109.6015625
17445,6.9,1110.4296875
17554,1.8,1110.4296875
17663,5.4,1110.4140625
17772,12.5,1132.73046875
17897,7.8,1133.46484375
18022,4.7,1132.8515625
18133,12.5,1134.04296875
18242,10.7,1135.16015625
18350,3.6,1134.69140625
18459,5.4,1134.29296875
18567,3.6,1134.29296875
18678,3.6,1134.28125
18787,8.9,1134.01953125
18896,5.4,1134.01953125
19004,3.6,1133.953125
19115,3.6,1133.890625
19222,1.8,1133.890625
19330,1.8,1134.1328125
19442,7.1,1134.1328125
19549,1.8,1134.00390625
19660,1.8,1134.00390625
19785,12.5,1133.9375
19893,3.6,1133.87109375
20017,1.6,1133.79296875
20141,3.1,1133.79296875
20251,3.6,1133.78515625
20360,5.4,1133.5234375
20470,5.4,1133.5234375
20578,3.6,1133.45703125
20687,3.6,1133.8359375
20796,7.1,1133.69921875
20907,3.6,1133.65625
21015,5.4,1132.0546875
21125,7.1,1128.15234375
21232,7.1,1121.9375
21342,5.4,1113.53125
21451,8.9,1108.44140625
21560,3.6,1108.32421875
21671,3.6,1107.63671875
21781,7.1,1107.63671875
21888,3.6,1107.625
21997,1.8,1107.625
22110,7.1,1107.921875
22231,4.8,1107.73828125
22340,1.8,1107.73828125
22449,3.5,1107.609375
22558,5.4,1107.2421875
22681,9.5,1107.046875
22791,12.5,1107.046875
22899,2.0,1107.046875
23009,7.1,1107.046875
23118,5.3,1107.046875
23227,8.9,1106.53515625
23335,7.1,1106.53515625
23446,3.6,1106.9140625
23570,7.8,1106.7890625
23679,3.6,1106.7890625
23804,14.1,1106.7890625
23911,3.6,1106.72265625
24020,1.8,1106.72265625
24130,5.4,1106.390625
24239,8.9,1106.37890625
24361,4.7,1106.31640625
24468,3.6,1106.1328125
24578,3.6,1106.05078125
24701,15.6,1101.55859375
24825,13.8,1101.30078125
24950,14.1,1089.19921875
25059,25.9,1078.640625
25185,4.7,1072.3046875
25298,3.6,1072.30859375
25422,9.4,1072.30859375
25530,1.8,1072.30859375
25638,1.8,1072.30859375
25746,10.7,1072.06640625
25870,9.5,1072.015625
25996,12.5,1071.50390625
26121,7.7,1071.63671875
26229,1.8,1071.44921875
26340,5.3,1071.23046875
26448,5.4,1071.1953125
26556,6.2,1071.1953125
26664,8.9,1071.1953125
26773,10.7,1071.1328125
26882,7.1,1070.76953125
26991,5.4,1070.76953125
27100,15.5,1066.8984375
27210,8.9,1042.7421875
27319,11.3,1021.3984375
27445,20.7,999.625
27554,3.6,971.46875
27663,19.6,982.59765625
27788,28.1,983.13671875
27912,17.5,939.47265625
28021,17.5,934.20703125
28130,29.1,925.97265625
28238,15.8,922.515625
28348,18.2,913.95703125
28459,24.1,922.92578125
28569,12.5,916.15234375
28680,7.1,926.82421875
28803,37.5,918.9296875
28927,17.2,919.265625
29051,20.6,919.37109375
29161,14.3,923.50390625
29270,22.8,935.3359375
29394,10.8,988.2109375
29502,47.2,991.25390625
29628,32.8,981.3671875
29739,7.1,966.27734375
29848,54.5,984.36328125
29957,14.0,968.37890625
30066,12.7,968.37890625
30176,7.0,955.53125
30286,9.1,954.0859375
30396,16.1,973.4140625
30504,8.8,973.33203125
30612,10.9,973.33203125
30722,7.0,956.56640625
30846,20.3,953.30078125
30958,14.3,939.0
31082,32.3,969.10546875
31192,0.0,972.21484375
31317,0.0,972.21484375
31443,0.0,972.2109375
31569,1.6,974.3671875
31694,3.1,974.3671875
31820,7.7,974.36328125
31928,3.6,974.36328125
