Sample Time (ms),CPU Usage (%),Free Memory (MB)
0,0.0,717.04296875
118,25.8,717.640625
242,28.1,708.421875
367,27.0,698.53515625
492,10.8,696.859375
599,21.8,687.3125
707,14.3,686.3671875
817,26.8,693.30078125
927,30.4,698.17578125
1036,21.8,699.58203125
1159,40.0,698.54296875
1285,33.9,683.25
1427,40.3,666.765625
1538,31.7,668.04296875
1661,12.5,658.9140625
1771,28.6,663.04296875
1878,40.7,678.0546875
1985,21.4,707.0546875
2094,17.9,728.32421875
2251,75.6,725.76953125
2393,34.7,721.9609375
2518,20.0,741.32421875
2644,7.8,726.83203125
2754,17.5,724.921875
2863,12.5,725.76953125
2973,9.3,721.97265625
