Sample Time (ms),CPU Usage (%),Free Memory (MB)
0,0.0,676.4375
134,18.8,677.80859375
244,17.9,677.79296875
368,4.7,681.45703125
478,7.1,681.453125
602,6.2,677.38671875
710,7.1,677.3359375
820,9.1,677.40234375
928,7.0,677.5546875
1038,5.5,678.74609375
1148,20.7,671.94921875
1272,26.6,662.76953125
1381,12.5,667.84765625
1491,21.4,653.12109375
1600,7.1,653.94140625
1722,4.7,653.9375
1847,3.1,654.0625
1970,1.6,654.078125
2079,3.6,654.078125
2189,10.7,654.140625
2298,15.5,654.33984375
2407,3.6,655.01171875
2516,7.1,655.0234375
2624,1.8,655.046875
2732,12.3,654.96875
2858,3.1,655.1640625
2966,12.7,655.5703125
3074,12.5,657.984375
3182,2.0,658.0859375
3306,4.7,658.078125
3417,7.1,658.23046875
3525,3.6,655.52734375
3635,5.4,655.62109375
3745,3.6,655.7578125
3854,5.4,655.84765625
3962,1.8,655.9140625
4072,0.0,655.9921875
4180,3.6,656.09375
4290,10.7,656.10546875
4400,5.4,656.125
4508,3.6,656.33984375
4617,8.9,655.88671875
4740,7.8,655.9296875
4849,3.6,656.2109375
4959,3.6,656.3671875
5069,1.8,656.3828125
5178,1.8,656.7265625
5286,10.7,656.7890625
5396,12.3,659.171875
5506,3.6,663.94140625
5616,1.8,663.93359375
5724,5.4,657.9375
5833,5.5,657.9453125
5944,8.8,657.953125
6054,5.3,658.015625
6163,3.6,658.01953125
6274,10.7,658.01171875
6382,14.3,655.640625
6490,12.5,658.88671875
6601,3.6,659.05078125
6723,10.9,657.56640625
6832,1.8,657.73046875
6942,3.6,657.859375
7052,3.6,657.87109375
7161,1.8,657.87109375
7284,12.5,668.3671875
7395,1.8,668.41015625
7517,6.2,669.78125
7627,5.4,669.3125
7736,12.5,670.765625
7845,5.4,671.60546875
7955,0.0,672.2421875
8077,9.5,672.6796875
8186,29.8,655.66015625
8297,21.1,648.890625
8406,19.3,649.046875
8514,16.1,649.2109375
8639,14.3,649.25390625
8747,12.5,648.91015625
8858,22.4,637.265625
8968,16.1,640.23046875
9080,17.9,642.73828125
9202,7.6,645.26953125
9326,21.9,645.24609375
9434,5.4,645.20703125
9545,1.8,645.26953125
9668,4.6,645.44140625
9776,6.2,642.79296875
9884,8.9,642.7890625
9994,8.9,632.30078125
10107,7.9,632.3203125
10229,6.9,632.45703125
10353,9.4,632.4609375
10463,5.4,632.58984375
10573,24.6,655.1015625
10682,17.9,655.23828125
10792,9.5,640.15625
10900,8.2,640.45703125
11010,0.0,640.80078125
11118,1.8,640.79296875
11228,5.4,640.78515625
11337,10.7,640.8359375
11447,0.0,640.828125
11555,0.0,640.875
11665,3.6,640.8671875
11789,1.6,640.8984375
11898,12.5,640.87890625
12007,14.3,593.44140625
12116,8.8,558.8828125
12226,50.0,517.2421875
12349,98.4,472.91796875
12472,53.1,447.20703125
12596,32.3,451.6875
12706,22.2,452.03515625
12817,18.6,462.3671875
12941,18.8,514.17578125
13068,33.8,533.5703125
13177,45.5,564.95703125
13301,28.8,575.6640625
13425,38.1,587.10546875
13534,10.5,592.77734375
13643,3.6,592.7734375
13753,0.0,592.81640625
13863,10.7,580.86328125
13972,8.9,581.0390625
14081,12.5,581.171875
14191,5.4,581.15234375
14299,16.1,581.12109375
14408,5.4,588.39453125
14517,1.8,588.55859375
14641,1.6,588.80078125
14751,12.5,586.48046875
14859,14.3,583.640625
14983,4.7,584.109375
15092,8.9,584.36328125
15199,1.8,584.390625
15310,9.1,584.84375
15419,14.3,587.23046875
15525,4.1,587.56640625
15633,7.1,593.21484375
15743,8.9,593.265625
15851,5.4,586.34765625
15960,9.1,586.484375
16069,0.0,586.98828125
16192,1.6,587.1796875
16299,10.7,587.1953125
16407,5.4,587.23828125
16517,1.8,587.3359375
16641,3.1,587.31640625
16750,3.6,587.3828125
16862,3.6,588.71484375
16972,12.5,610.23046875
17080,5.5,612.09375
17206,1.5,612.09765625
17332,6.3,612.05078125
17442,1.8,612.47265625
17565,1.6,612.47265625
17689,0.0,612.47265625
17814,0.0,612.46484375
17940,1.6,612.42578125
18048,0.0,612.45703125
18173,3.1,612.578125
18298,4.8,612.578125
18423,7.8,612.515625
18547,1.5,612.25
18672,0.0,612.25
18796,3.2,612.66015625
18905,1.8,612.546875
19031,4.9,612.4375
19157,1.5,612.4375
19281,1.6,612.43359375
19391,3.4,612.43359375
19516,1.6,613.1875
19640,3.0,613.01171875
19767,0.0,613.01171875
19893,1.6,613.01171875
20019,3.2,612.35546875
20142,9.1,612.140625
20267,3.3,611.85546875
20376,3.4,611.5546875
20486,3.6,611.23046875
20612,0.0,610.8828125
20738,1.6,610.91796875
20864,0.0,610.91796875
20988,7.6,604.42578125
21097,5.4,599.1015625
21207,1.8,598.578125
21330,7.8,598.55859375
21439,3.6,598.59765625
21565,0.0,599.08984375
21690,1.6,599.08984375
21814,0.0,599.08984375
21939,3.1,599.08984375
22065,0.0,598.94921875
22176,7.1,599.08203125
22286,0.0,598.9296875
22410,6.2,598.90234375
22533,0.0,598.73046875
22659,1.5,598.7265625
22783,0.0,598.65234375
22907,1.6,599.03515625
23032,0.0,598.80078125
23157,1.6,598.796875
23282,9.2,598.609375
23407,12.1,598.52734375
23532,3.3,596.5859375
23657,18.2,559.50390625
23766,3.5,559.2578125
23892,10.9,560.3828125
24003,8.9,560.328125
24113,0.0,560.328125
24239,6.2,566.2890625
24362,1.6,566.44921875
24472,1.8,566.44921875
24599,0.0,566.44921875
24724,1.6,566.44921875
24848,3.1,566.37109375
24971,4.7,566.28125
25096,0.0,566.27734375
25220,1.5,566.27734375
25345,9.2,566.328125
25470,3.1,566.32421875
25598,9.4,567.01953125
25723,0.0,567.06640625
25848,1.6,567.0703125
25974,0.0,567.265625
26098,0.0,567.265625
26224,0.0,567.26171875
26349,4.7,567.2578125
26460,5.5,567.45703125
26585,0.0,567.43359375
26711,0.0,567.43359375
26838,0.0,567.43359375
26964,3.1,568.28125
27088,4.7,568.65625
27214,4.7,568.65234375
27339,7.8,568.23046875
27449,9.8,568.265625
27574,0.0,568.265625
27700,0.0,568.26953125
27825,0.0,568.36328125
27949,0.0,568.36328125
28073,3.4,568.36328125
28198,0.0,568.36328125
28322,7.1,568.7109375
28448,10.9,568.9921875
28557,0.0,568.9921875
28683,1.4,568.97265625
28807,5.2,569.9921875
28932,1.6,570.0
29056,3.1,570.02734375
29181,0.0,570.02734375
29307,0.0,570.484375
29431,10.9,570.5625
29540,3.6,570.5625
29667,1.6,570.87890625
29792,0.0,570.875
29918,1.6,570.89453125
