Sample Time (ms),CPU Usage (%),Free Memory (MB)
0,0.0,784.71484375
132,8.3,784.71484375
242,5.4,784.69140625
367,3.1,784.65625
476,12.7,781.57421875
600,15.4,780.83984375
709,10.7,781.65625
818,10.9,783.203125
930,21.1,781.52734375
1053,11.1,783.1953125
1162,23.2,774.703125
1271,28.6,785.46484375
1429,25.6,763.16015625
1551,18.8,763.7421875
1674,7.8,766.27734375
1799,4.8,766.05859375
1924,3.1,766.05859375
2047,10.5,759.0
2155,16.1,754.35546875
2266,19.6,769.0546875
2376,17.9,763.8046875
2499,20.3,757.03515625
2610,23.2,755.78125
2719,10.7,755.96484375
2829,5.4,755.98828125
2952,4.7,755.94140625
3062,3.6,755.984375
3185,6.2,755.69921875
3295,1.8,755.69921875
3406,8.9,765.0546875
3514,10.9,767.71875
3624,10.3,768.1171875
3733,5.4,768.109375
3843,1.8,767.9921875
3953,3.6,768.28125
4077,14.1,767.4140625
4201,6.3,821.921875
4308,12.5,816.359375
4417,5.3,816.3671875
4525,5.5,816.4375
4648,7.7,816.4921875
4759,14.3,816.4921875
4884,14.1,817.3125
4993,3.6,817.28515625
5101,7.1,817.30078125
5210,1.8,816.7109375
5318,3.6,817.12890625
5428,7.1,817.12890625
5552,6.3,817.12890625
5661,1.8,817.390625
5770,0.0,817.24609375
5879,5.4,817.26171875
5989,0.0,817.26171875
6098,3.5,818.5078125
6206,5.5,818.57421875
6316,1.8,820.00390625
6426,10.7,809.3359375
6535,22.8,800.76953125
6643,14.3,780.16796875
6770,10.8,776.546875
6894,32.3,728.10546875
7020,14.3,662.03125
7127,9.3,659.91015625
7251,4.5,660.21484375
7360,10.0,650.7578125
7486,25.4,615.63671875
7611,23.5,618.56640625
7721,22.8,620.39453125
7844,23.7,618.84375
7954,15.3,603.0546875
8078,19.7,622.5546875
8186,14.3,621.90625
8310,3.1,607.859375
8433,10.9,607.92578125
8556,12.5,607.93359375
8664,5.4,607.9453125
8789,6.3,607.93359375
8916,4.6,607.9921875
9040,7.7,608.0625
9166,6.2,607.3359375
9289,4.6,609.625
9398,8.9,611.6484375
9521,7.8,618.46484375
9644,10.9,618.484375
9754,7.1,618.47265625
9878,11.1,618.66796875
10003,6.2,618.37890625
10128,10.9,604.60546875
10252,9.4,604.76171875
10377,6.6,605.01953125
10501,3.4,623.76953125
10612,19.4,623.9765625
10734,6.7,617.94140625
10844,0.0,627.65234375
10953,1.8,627.65234375
11062,1.8,627.5859375
11170,3.6,627.65625
11278,8.9,627.09765625
11400,6.2,640.5390625
11509,0.0,640.57421875
11618,12.3,640.578125
11728,3.6,640.578125
11838,5.4,640.76171875
11963,7.8,640.76171875
12072,5.4,640.82421875
12197,3.1,641.1171875
12304,3.6,634.77734375
12414,5.3,629.953125
12524,9.1,629.953125
12635,5.3,629.953125
12744,5.4,629.94921875
12854,5.4,629.95703125
12963,5.5,629.95703125
13070,5.3,630.94921875
13178,5.4,630.9296875
13288,5.4,633.69921875
13396,3.6,632.54296875
13506,1.8,633.3515625
13615,8.9,633.390625
13724,3.6,633.390625
13834,8.9,633.375
13944,7.1,633.21875
14068,4.8,633.27734375
14175,7.0,633.2421875
14285,0.0,633.359375
14394,1.8,638.22265625
14504,10.3,638.22265625
14613,10.9,638.22265625
14720,0.0,638.22265625
14829,7.0,638.22265625
14938,10.7,638.48828125
15047,7.1,638.48828125
15155,1.8,638.65234375
15265,8.9,638.6328125
15374,5.4,636.15234375
15484,1.8,636.15234375
15594,14.5,636.15234375
15703,10.5,638.76953125
15811,0.0,640.6953125
15921,5.4,640.62890625
16033,8.9,640.62890625
16141,10.7,640.62890625
16250,5.4,641.02734375
16360,10.7,634.875
16469,1.8,634.875
16579,14.3,634.875
16688,5.4,634.87109375
16796,7.1,634.87109375
16905,3.6,634.87109375
17014,7.1,634.87109375
17138,4.6,634.87109375
17248,5.4,634.86328125
17356,5.4,634.86328125
17467,5.4,634.8359375
17578,5.5,635.25390625
17687,8.8,635.25
17796,7.1,635.3828125
17905,1.8,635.34375
18015,8.9,635.3515625
18126,7.0,635.36328125
18250,10.9,635.36328125
18359,1.8,635.359375
18469,0.0,635.36328125
18577,10.5,635.37890625
18687,3.6,635.37890625
18812,4.7,635.38671875
18921,3.6,635.38671875
19028,3.6,635.6328125
19136,3.5,635.65625
19246,3.6,635.6484375
19356,5.4,635.6484375
19467,5.4,635.91015625
19574,10.9,635.90625
19683,7.0,635.94140625
19807,0.0,635.94140625
19916,5.4,635.86328125
20025,1.8,635.86328125
20134,3.6,635.8671875
20245,3.6,635.91015625
20352,5.4,636.23828125
20460,10.7,635.83984375
20582,10.9,637.34375
20690,8.9,637.02734375
20800,7.0,637.02734375
20922,3.6,637.05859375
21031,5.4,637.23046875
21142,3.2,637.3828125
21253,5.4,637.390625
21360,10.0,634.79296875
21468,5.4,632.3359375
21575,7.3,632.4921875
21684,8.8,633.6015625
21793,3.6,634.1015625
21904,3.6,634.08984375
22012,1.8,634.10546875
22121,1.8,634.10546875
22229,5.4,634.10546875
22338,8.9,634.125
22447,3.6,634.18359375
22556,3.6,634.1796875
22681,9.4,634.1796875
22804,1.6,634.1796875
22915,3.6,634.1796875
23024,5.4,634.1796875
23133,1.8,634.45703125
23242,7.3,630.37890625
23351,12.3,633.515625
23461,0.0,633.515625
23569,3.6,630.0625
23693,12.3,630.07421875
23817,1.6,630.07421875
23928,8.9,630.1015625
24036,5.4,630.25
24145,7.3,630.28515625
24255,1.8,630.30078125
24363,5.5,630.28125
24473,3.5,630.66796875
24582,10.7,627.078125
24692,16.1,634.23046875
24816,1.6,634.53515625
24926,3.6,634.53515625
25035,7.3,635.171875
25144,7.0,635.609375
25254,0.0,635.609375
25365,3.6,635.66796875
25476,0.0,635.9140625
25585,14.0,627.8828125
25694,10.7,627.87890625
25803,5.4,628.35546875
25913,5.4,628.390625
26022,7.1,628.5546875
26147,1.6,628.5703125
26256,3.6,628.56640625
26365,1.8,628.55859375
26474,10.7,628.61328125
26584,17.2,628.671875
26693,10.7,628.71484375
26802,3.6,628.83984375
26911,1.8,628.8984375
27021,7.0,628.8984375
27129,7.3,629.33984375
27238,7.0,629.33984375
27347,0.0,629.33984375
27456,1.8,629.375
27565,5.4,629.37109375
27675,13.8,629.37109375
27799,6.3,629.37109375
27908,5.5,629.37109375
28032,3.4,629.328125
28140,3.6,629.328125
28250,5.4,629.33203125
28359,1.8,629.32421875
28466,1.8,629.33203125
28576,3.6,629.41015625
28685,7.1,629.6015625
28794,7.1,629.6015625
28904,0.0,629.6015625
29013,7.1,629.6015625
29123,5.4,629.6171875
29232,14.3,629.625
29341,5.4,629.62109375
29449,3.6,629.6328125
29559,3.6,629.625
29700,40.3,629.38671875
29823,9.1,625.5859375
29931,10.7,624.0546875
30054,12.7,613.84765625
30162,14.3,595.8359375
30283,20.0,594.625
30407,26.8,597.1953125
30516,21.1,597.125
30641,31.2,590.19921875
30768,27.5,585.3359375
30892,13.8,585.94921875
31000,8.0,585.31640625
31112,6.3,585.36328125
31235,3.5,587.99609375
31360,0.0,587.95703125
31485,3.1,588.45703125
31611,8.5,588.58984375
31721,23.2,588.69140625
31845,15.8,586.1640625
31970,4.3,586.3203125
32094,5.2,586.40625
32220,10.9,583.1796875
32330,3.2,593.37890625
32455,1.6,593.36328125
32581,3.1,594.14453125
32691,7.1,594.28125
32802,1.8,594.5625
32929,0.0,594.6015625
33086,12.5,605.328125
33210,3.2,591.11328125
33333,6.3,591.1328125
33456,23.1,584.4609375
33565,3.7,579.21875
33675,10.2,572.125
33800,12.5,567.2890625
33925,1.6,572.66015625
34049,0.0,569.27734375
34158,0.0,567.94140625
34267,0.0,555.77734375
34389,0.0,560.5859375
34512,3.1,550.68359375
34638,1.6,544.14453125
34749,8.9,539.11328125
34858,15.8,536.09375
34967,7.1,516.50390625
35092,6.2,511.2734375
35201,0.0,508.5390625
35311,12.3,490.6953125
35421,21.4,474.859375
35530,5.4,484.4609375
35640,10.7,481.203125
35751,25.0,472.9453125
35859,16.1,462.67578125
35970,16.1,446.0546875
36080,12.5,420.8125
36204,22.8,412.94140625
36328,76.9,409.46484375
36453,64.6,418.8671875
36579,21.9,421.0390625
36703,24.2,427.83984375
36812,39.3,446.1328125
36937,23.4,476.4140625
37047,10.7,471.9765625
37171,20.3,471.50390625
37296,20.0,468.29296875
37405,16.1,454.86328125
37528,3.1,453.078125
37653,17.5,452.015625
37764,12.3,450.10546875
37890,3.1,448.7734375
38000,3.6,457.9765625
38108,8.9,460.13671875
38232,0.0,460.12890625
38359,10.9,460.109375
38468,7.4,460.19140625
38580,10.8,448.8203125
38690,12.5,448.90625
38799,3.5,498.3828125
38925,0.0,499.234375
39050,3.1,501.7578125
39175,1.6,553.9375
39300,0.0,553.91796875
39424,0.0,554.796875
39550,1.6,554.796875
39677,0.0,554.796875
39788,14.0,567.50390625
39898,12.7,576.75
40008,1.8,576.78515625
40132,3.1,576.046875
40257,1.6,575.66015625
40384,1.6,575.6640625
40509,0.0,575.6484375
40634,3.1,575.625
40759,7.7,574.40625
40870,7.1,574.43359375
40979,0.0,574.2421875
41105,4.6,574.19140625
41215,0.0,574.19140625
41338,0.0,574.19140625
41462,0.0,574.20703125
41587,1.6,574.01171875
41696,5.4,573.94140625
41820,4.7,573.9375
41945,0.0,573.91796875
42069,3.1,573.89453125
42193,3.1,574.12890625
42320,0.0,574.0625
42444,1.6,574.046875
42569,0.0,574.046875
42694,7.7,574.015625
42819,6.6,574.0390625
42943,1.6,574.0390625
43069,1.5,574.0390625
43195,3.2,574.1015625
43304,0.0,574.84375
43414,1.8,574.86328125
43540,0.0,575.38671875
43664,3.2,575.38671875
43789,7.7,575.43359375
43914,1.5,575.43359375
44039,0.0,575.3984375
44164,1.5,575.39453125
44289,4.6,572.9609375
44398,3.6,564.1875
44522,1.6,561.5625
44648,6.2,557.88671875
44759,7.1,553.01171875
44868,7.1,548.3828125
44978,3.6,538.8671875
45089,5.3,541.390625
45214,4.7,522.0234375
45324,3.6,520.51171875
45434,1.8,518.1640625
45559,3.1,512.03125
45668,7.1,508.08203125
45793,4.7,501.05078125
45918,6.2,494.4296875
46042,3.1,492.05859375
46169,3.1,490.546875
46295,9.1,486.45703125
46405,7.1,481.0234375
46530,0.0,481.0546875
46656,6.2,481.08984375
46781,4.7,481.08984375
46907,6.2,475.98046875
47031,4.7,475.4453125
47158,2.8,475.4453125
47284,0.0,475.84765625
47408,10.6,472.046875
47517,0.0,472.046875
47641,5.5,470.5078125
47766,12.3,470.53125
47874,1.9,470.53125
47998,0.0,470.53125
48123,0.0,470.53125
48248,1.5,470.52734375
48372,0.0,470.53125
48498,4.6,470.53125
48624,0.0,470.53125
48748,6.2,470.859375
48858,0.0,470.859375
48983,0.0,471.3046875
49106,0.0,471.04296875
49233,4.7,471.05078125
49358,0.0,471.0625
49483,6.3,471.06640625
49592,1.8,471.0703125
49717,6.2,469.96484375
49826,1.8,469.96484375
49951,1.6,469.96484375
