Sample Time (ms),CPU Usage (%),Free Memory (MB)
0,0.0,997.51953125
119,17.5,996.859375
228,12.2,997.79296875
335,14.5,989.54296875
444,12.3,987.89453125
568,12.7,992.60546875
677,10.5,993.296875
787,1.8,993.6171875
896,8.9,993.80078125
1006,8.9,993.9453125
1112,10.7,993.76171875
1220,1.8,993.74609375
1328,1.8,994.17578125
1439,5.4,984.41015625
1548,14.8,986.09765625
1658,27.6,981.89453125
1765,23.6,989.24609375
1891,21.5,992.56640625
2017,12.5,993.265625
2141,10.9,993.3203125
2264,1.6,993.30859375
2389,6.2,984.25
2514,6.2,984.45703125
2637,4.7,984.90234375
2748,7.1,984.89453125
2856,17.9,985.89453125
2966,3.6,986.61328125
3090,11.1,986.75
3198,1.8,986.7890625
3307,1.8,988.7109375
3433,4.6,983.4296875
3541,3.6,983.453125
3649,12.0,983.609375
3758,7.1,983.64453125
3868,3.6,983.67578125
3989,9.4,985.015625
4098,7.1,985.296875
4206,3.6,985.29296875
4317,3.6,985.27734375
4426,5.4,985.44921875
4538,26.8,986.109375
4646,3.6,986.1015625
4772,3.1,986.09375
4897,4.7,986.11328125
5021,4.7,995.5234375
5145,10.9,995.5234375
5254,5.4,995.51953125
5365,5.4,995.96875
5487,3.1,988.30859375
5598,7.1,988.4765625
5707,7.1,988.47265625
5829,3.1,988.4375
5952,3.1,988.5703125
6078,10.8,988.56640625
6204,4.7,988.57421875
6328,0.0,988.57421875
6454,3.1,988.65234375
6577,4.8,988.671875
6702,1.5,989.12109375
6827,11.1,989.3046875
6938,7.1,989.44140625
7047,7.0,989.55078125
7172,3.2,989.609375
7296,6.2,989.609375
7422,0.0,995.67578125
7548,1.5,995.76953125
7674,1.6,995.91796875
7800,0.0,996.06640625
7924,0.0,996.1796875
8049,4.7,997.18359375
8174,6.2,997.1796875
8299,1.6,997.1796875
8410,5.2,992.45703125
8536,1.6,992.64453125
8661,4.7,992.73828125
8785,0.0,992.73828125
8908,1.6,992.72265625
9033,1.6,992.734375
9158,3.1,992.8125
9283,1.6,992.8125
9408,3.1,992.8125
9532,0.0,993.3046875
9658,0.0,993.2265625
9785,6.2,993.765625
9894,10.9,993.7890625
