Sample Time (ms),CPU Usage (%),Free Memory (MB)
0,0.0,999.7578125
120,9.2,1001.9453125
228,8.8,1002.0390625
337,5.4,1002.86328125
462,3.1,1003.22265625
571,1.8,1003.20703125
679,3.6,1003.33984375
789,7.1,1002.06640625
899,0.0,1002.8515625
1008,7.0,1002.8515625
1117,5.4,1003.1796875
1226,12.3,1003.7109375
1337,26.8,1000.96484375
1444,20.0,1008.1796875
1553,14.0,1001.79296875
1662,3.6,1001.62890625
1772,9.1,991.46875
1895,4.6,991.46875
2005,7.3,991.49609375
2127,4.6,991.49609375
2235,8.2,991.9375
2343,10.7,991.95703125
2455,15.3,991.96875
2577,6.5,991.9765625
2686,1.8,991.95703125
2809,6.2,991.9453125
2918,7.1,991.99609375
3026,7.1,991.98828125
3134,3.6,992.0703125
3244,1.8,992.0703125
3352,7.3,992.015625
3461,10.5,992.1484375
3570,5.4,992.51953125
3695,10.9,992.390625
3802,5.5,992.11328125
3910,3.5,992.08203125
4020,3.6,992.07421875
4128,7.3,992.07421875
4238,5.3,992.078125
4347,5.5,992.078125
4457,7.0,992.078125
4566,5.4,992.07421875
4676,3.6,992.0546875
4798,12.7,992.07421875
4909,7.1,992.07421875
5016,4.1,992.34765625
5126,7.1,992.34765625
5236,6.2,992.34375
5347,3.6,992.48046875
5456,7.3,992.48046875
5564,1.8,992.88671875
5674,5.3,993.0
5783,10.9,991.765625
5892,5.3,991.75
6003,5.5,991.703125
6126,3.5,991.703125
6235,3.6,991.3671875
6343,14.3,990.29296875
6452,16.1,990.2734375
6576,4.7,990.2734375
6686,8.9,990.2578125
6795,3.6,990.32421875
6905,3.6,990.32421875
7028,1.6,990.32421875
7138,5.4,993.9375
7248,1.8,994.05078125
7371,4.7,994.0859375
7479,7.1,994.140625
7589,1.8,994.140625
7698,14.3,993.015625
7807,16.1,993.015625
7915,5.4,989.203125
8022,3.6,989.203125
8132,7.0,989.2578125
8240,3.6,989.2578125
8349,5.6,989.3046875
8457,14.0,989.3984375
8565,5.5,989.3984375
8673,3.5,989.5234375
8781,6.1,989.5234375
8895,4.8,989.53515625
9016,0.0,989.85546875
9126,7.0,989.85546875
9236,3.3,989.8671875
9358,11.7,989.90234375
9468,15.8,989.8984375
9578,0.0,989.8984375
9686,1.8,989.87890625
9796,8.9,989.87890625
9906,1.8,989.90234375
10031,3.1,985.85546875
10138,3.5,985.85546875
10247,5.5,985.89453125
10356,5.3,986.0078125
10465,10.7,986.52734375
10575,0.0,986.52734375
10685,7.1,986.51171875
10793,7.1,986.5234375
10903,0.0,984.8671875
11012,3.6,984.921875
11121,3.6,984.9453125
11229,3.6,985.0
11339,5.4,985.1953125
11460,10.9,985.20703125
11585,10.8,985.20703125
11695,3.6,985.2109375
11804,0.0,985.53125
11911,5.4,985.2421875
12020,1.8,985.3203125
12144,3.1,985.328125
12253,10.7,985.3515625
12360,4.2,985.3515625
12471,17.2,985.3359375
12580,3.6,985.3359375
12704,10.5,985.3203125
12814,3.6,985.3671875
12922,3.6,985.36328125
13031,7.1,986.8125
13157,7.8,987.20703125
13265,8.9,987.26171875
13374,12.5,990.47265625
13498,14.1,990.5078125
13606,1.8,990.50390625
13731,9.4,990.5859375
13840,7.0,990.46484375
13962,6.2,986.73828125
14072,3.6,986.73828125
14196,1.6,986.73828125
14304,3.6,986.78515625
14413,3.6,986.84765625
14537,4.6,987.15234375
14660,4.8,987.44921875
14788,3.1,987.42578125
14910,3.2,987.4375
