Sample Time (ms),CPU Usage (%),Free Memory (MB)
11131,14.5,658.15234375
11240,5.3,658.1484375
11364,3.1,658.1484375
11472,7.1,658.14453125
11581,1.8,658.15625
11692,1.8,658.25390625
11801,5.4,658.44140625
11910,7.1,658.47265625
12018,5.4,658.9453125
12128,19.6,658.9609375
12236,12.5,659.203125
12345,3.6,659.203125
12453,2.0,659.203125
12562,10.7,659.2734375
12671,1.8,659.328125
12779,1.8,659.32421875
12902,4.7,659.41015625
13010,7.1,659.5859375
13133,6.3,659.6875
13241,3.5,660.765625
13349,10.9,661.10546875
13459,10.7,662.0078125
13567,12.1,665.00390625
13675,1.8,665.015625
13784,0.0,665.1484375
13893,3.5,665.16796875
14017,3.6,665.15234375
14126,18.0,659.6328125
14234,5.9,659.0859375
14344,1.8,659.0859375
14453,7.1,659.1875
14575,4.7,659.8203125
14684,3.6,659.83984375
14792,5.4,656.52734375
14902,5.4,655.6328125
15027,7.8,655.56640625
15134,7.1,655.4375
15258,4.7,655.296875
15383,7.8,661.23828125
15490,0.0,661.46875
15600,8.9,661.453125
15710,7.0,664.67578125
15818,5.4,666.0234375
15940,3.2,665.953125
16064,3.1,665.27734375
16172,27.1,659.99609375
16295,4.7,660.01171875
16403,5.4,660.11328125
16513,3.6,660.109375
16635,3.1,660.24609375
16745,1.8,660.24609375
16871,0.0,660.41796875
16996,0.0,660.41796875
17121,6.2,660.40234375
17245,9.2,660.40234375
17369,0.0,660.40234375
17494,1.6,660.40234375
17619,4.7,660.53515625
17745,3.2,660.6015625
17869,0.0,660.6015625
17994,0.0,660.6015625
18117,1.6,660.6328125
18226,5.4,660.6328125
18352,1.6,660.6328125
18476,1.6,660.64453125
18601,0.0,660.796875
18726,4.7,660.86328125
18835,1.8,661.1875
18960,0.0,661.1875
19084,0.0,661.171875
19211,4.7,661.39453125
19322,3.6,661.3984375
19447,3.1,661.421875
19573,1.6,661.421875
19700,1.6,661.41796875
19824,6.2,661.41796875
19934,8.9,662.48828125
20044,1.8,662.4765625
20169,4.8,662.7421875
20295,4.6,663.078125
20420,9.4,663.7578125
20530,1.8,663.7578125
20655,3.1,663.7890625
20779,0.0,663.7890625
20903,3.0,664.2109375
21029,3.1,664.20703125
21155,6.2,664.28515625
21262,7.1,664.20703125
21373,0.0,664.1953125
21498,0.0,664.1953125
21623,42.9,664.67578125
21733,10.5,664.8828125
21857,3.1,664.83984375
21984,1.6,664.83984375
22110,3.1,664.828125
22235,14.1,663.60546875
22344,1.8,663.60546875
22469,3.1,663.60546875
22595,0.0,663.60546875
22718,6.2,663.70703125
22845,4.7,663.80859375
22969,6.2,664.20703125
23094,0.0,664.2109375
23220,9.9,664.2109375
23330,1.8,664.1484375
23454,8.8,664.40625
23578,1.6,665.75
23703,3.1,665.75
23829,9.4,679.21484375
23954,6.2,679.19921875
24078,4.7,679.359375
24203,9.4,682.6640625
24313,10.5,683.19140625
24438,3.1,683.19140625
24562,1.6,683.05859375
24687,7.8,673.18359375
24812,1.6,673.19140625
24937,4.7,673.40234375
25061,4.8,673.4609375
25171,10.5,673.546875
25295,7.8,673.625
25403,0.0,673.6953125
25529,0.0,673.69921875
25655,1.6,674.20703125
25781,1.6,674.42578125
25907,2.9,674.12890625
26016,2.0,674.1328125
26141,7.8,674.12890625
26267,9.4,674.16015625
26377,0.0,674.203125
26502,0.0,674.35546875
26627,0.0,674.625
26753,1.5,674.82421875
26880,0.0,674.84375
27005,0.0,674.99609375
27127,3.1,674.98046875
27236,7.1,674.9765625
27346,0.0,675.0234375
27471,0.0,675.03125
27596,4.8,674.75390625
27707,0.0,674.75
27830,1.6,674.75
27954,0.0,674.75
28065,5.0,674.7734375
28191,6.2,675.35546875
28314,6.6,675.359375
28439,0.0,675.9140625
28564,0.0,675.9140625
28689,1.6,675.9140625
28815,0.0,675.96875
28941,0.0,676.0546875
29066,0.0,676.0546875
29190,4.7,676.03515625
29315,13.3,675.70703125
29423,0.0,675.72265625
29548,0.0,675.72265625
29672,4.7,675.828125
29799,1.4,676.140625
29923,1.6,676.15625
