Sample Time (ms),CPU Usage (%),Free Memory (MB)
0,0.0,946.2265625
116,23.8,946.4765625
240,15.5,948.9609375
366,17.1,952.70703125
475,74.1,893.82421875
599,100.0,841.0390625
726,100.0,806.99609375
861,100.0,772.94921875
984,100.0,730.9296875
1106,82.5,702.13671875
1231,29.7,698.30859375
1356,23.4,699.234375
1480,23.4,699.6328125
1589,15.8,698.32421875
1697,25.9,688.1015625
1806,30.4,690.29296875
1930,20.0,711.06640625
2040,41.1,712.875
2149,18.5,715.546875
2259,13.8,724.7421875
2370,14.3,726.87109375
2497,10.9,726.984375
2607,1.8,727.17578125
2733,4.7,721.66015625
2842,14.3,715.4375
2969,12.5,716.60546875
