Sample Time (ms),CPU Usage (%),Free Memory (MB)
0,0.0,570.89453125
119,10.9,571.58203125
228,5.4,571.64453125
339,9.1,571.65234375
447,12.7,572.2734375
556,7.0,572.328125
683,1.6,572.32421875
789,0.0,572.3203125
899,3.6,572.28125
1008,10.7,572.6953125
1117,3.6,568.81640625
1287,23.6,563.6171875
1414,18.8,562.73828125
1538,13.8,556.4296875
1648,7.1,555.5
1758,8.9,554.8359375
1884,0.0,554.4765625
2008,3.1,554.4765625
2116,3.6,554.84765625
2240,9.4,547.25
2349,7.1,547.8984375
2456,12.5,547.94140625
2566,3.6,547.96875
2674,5.4,547.96875
2783,1.8,548.0703125
2893,3.6,548.078125
3004,1.8,548.078125
3114,1.8,548.3046875
3223,1.8,546.19921875
3348,10.8,545.30078125
3472,20.3,539.62109375
3582,15.5,515.40625
3692,17.9,513.74609375
3818,12.7,514.5234375
3926,5.3,514.5234375
4037,0.0,514.5234375
4162,3.1,514.5234375
4284,6.2,512.09765625
4392,5.5,512.09765625
4500,5.3,507.08203125
4610,3.6,507.140625
4720,7.1,507.30078125
4830,7.0,507.51953125
4938,1.8,507.6171875
5045,7.3,508.1875
5168,3.1,508.24609375
5280,8.9,506.34375
5389,3.6,506.359375
5497,8.8,506.1796875
5606,5.4,506.1796875
5716,0.0,521.2265625
5827,12.5,521.03515625
5933,14.0,507.62109375
6041,14.8,505.6015625
6150,14.0,505.87890625
6261,7.3,503.1015625
6370,19.6,502.6796875
6482,15.8,503.73046875
6607,4.6,503.7890625
6717,5.4,503.7890625
6840,1.6,503.796875
6966,6.2,503.76953125
7074,0.0,503.71484375
7184,1.8,510.46875
7295,3.6,510.63671875
7403,12.7,505.98828125
7528,7.7,505.984375
7638,1.8,505.9921875
7762,6.2,506.29296875
7871,5.4,506.3515625
7980,3.6,506.359375
8103,4.8,506.37109375
8212,5.3,506.37109375
8324,8.9,506.37109375
8447,14.1,505.76171875
8558,1.8,506.44921875
8668,1.8,506.453125
8779,12.5,506.46484375
8888,3.6,507.0546875
8997,5.4,507.0390625
9107,8.9,507.08984375
9215,3.6,507.4609375
9323,1.8,507.51953125
9446,12.5,507.5546875
9556,4.8,507.57421875
9665,2.0,507.57421875
